Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & Upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
2025-12-22T21:00:00+01:00;PT15M;Onshore;Wallonia;Elia;10.84;3.4;0.4;12.0;4.3;0.5;13.9;3.4;0.5;14.0;26.8;8.1;60.5;188.2;0.06;''
2025-12-22T20:45:00+01:00;PT15M;Onshore;Wallonia;Elia;11.13;3.8;0.4;12.5;4.5;0.5;14.0;3.3;0.5;13.9;26.6;8.0;59.9;188.2;0.06;''
2025-12-22T20:30:00+01:00;PT15M;Onshore;Wallonia;Elia;11.74;4.0;0.4;12.5;4.6;0.5;13.9;3.2;0.5;13.8;26.5;8.2;59.4;188.2;0.06;''
2025-12-22T20:15:00+01:00;PT15M;Onshore;Wallonia;Elia;13.73;4.1;0.4;12.6;4.5;0.5;13.9;3.1;0.5;13.6;26.4;8.4;59.0;188.2;0.07;''
2025-12-22T20:00:00+01:00;PT15M;Onshore;Wallonia;Elia;14.62;4.1;0.4;12.9;4.6;0.6;13.9;2.9;0.4;13.5;26.4;8.6;58.5;188.2;0.08;''
2025-12-22T19:45:00+01:00;PT15M;Onshore;Wallonia;Elia;14.35;4.7;0.6;13.3;4.8;0.8;14.1;2.7;0.4;13.2;26.1;8.8;60.2;188.2;0.08;''
2025-12-22T19:30:00+01:00;PT15M;Onshore;Wallonia;Elia;10.43;4.7;0.6;13.3;4.7;0.7;13.9;2.6;0.4;13.1;26.3;8.9;61.4;188.2;0.06;''
2025-12-22T19:15:00+01:00;PT15M;Onshore;Wallonia;Elia;5.4;4.8;0.6;13.4;4.6;0.7;13.8;2.4;0.4;13.0;26.4;8.8;60.8;188.2;0.03;''
2025-12-22T19:00:00+01:00;PT15M;Onshore;Wallonia;Elia;7.05;4.9;0.5;13.5;4.6;0.7;13.5;2.3;0.4;12.9;26.5;8.4;58.9;188.2;0.04;''
2025-12-22T18:45:00+01:00;PT15M;Onshore;Wallonia;Elia;8.08;4.9;0.4;13.6;4.5;0.5;13.4;2.0;0.4;12.7;26.7;8.1;57.1;188.2;0.04;''
2025-12-22T18:30:00+01:00;PT15M;Onshore;Wallonia;Elia;9.08;5.0;0.4;13.6;4.2;0.4;13.2;2.0;0.4;12.4;27.0;8.1;54.9;188.2;0.05;''
2025-12-22T18:15:00+01:00;PT15M;Onshore;Wallonia;Elia;11.61;4.9;0.4;13.5;4.1;0.4;13.2;1.8;0.4;12.3;27.3;7.7;52.3;188.2;0.06;''
2025-12-22T18:00:00+01:00;PT15M;Onshore;Wallonia;Elia;12.65;4.9;0.4;13.5;3.8;0.4;13.2;1.7;0.3;12.2;27.6;6.9;50.2;188.2;0.07;''
2025-12-22T17:45:00+01:00;PT15M;Onshore;Wallonia;Elia;10.99;4.4;0.3;13.1;3.3;0.3;12.9;1.5;0.3;12.2;28.0;6.1;48.1;188.2;0.06;''
2025-12-22T17:30:00+01:00;PT15M;Onshore;Wallonia;Elia;10.79;4.2;0.3;12.9;3.2;0.3;12.9;1.5;0.3;12.2;28.4;5.8;48.6;188.2;0.06;''
2025-12-22T17:15:00+01:00;PT15M;Onshore;Wallonia;Elia;11.46;4.0;0.3;12.5;3.0;0.3;12.7;1.5;0.3;12.1;28.8;5.9;51.5;188.2;0.06;''
2025-12-22T17:00:00+01:00;PT15M;Onshore;Wallonia;Elia;10.71;3.6;0.3;12.2;2.5;0.2;12.4;1.3;0.2;11.9;29.1;6.2;57.1;188.2;0.06;''
2025-12-22T16:45:00+01:00;PT15M;Onshore;Wallonia;Elia;10.28;2.6;0.2;11.1;1.9;0.2;12.0;1.2;0.2;11.8;29.6;6.6;62.7;188.2;0.05;''
2025-12-22T16:30:00+01:00;PT15M;Onshore;Wallonia;Elia;6.47;2.3;0.2;10.8;1.8;0.2;12.0;1.1;0.2;11.9;30.0;6.7;65.9;188.2;0.03;''
2025-12-22T16:15:00+01:00;PT15M;Onshore;Wallonia;Elia;3.35;1.9;0.2;10.4;1.8;0.2;12.0;1.0;0.1;11.7;30.2;6.7;66.8;188.2;0.02;''
2025-12-22T16:00:00+01:00;PT15M;Onshore;Wallonia;Elia;2.09;1.6;0.2;10.1;1.6;0.1;12.0;1.0;0.1;11.6;30.7;6.7;65.5;188.2;0.01;''
2025-12-22T15:45:00+01:00;PT15M;Onshore;Wallonia;Elia;0.36;1.0;0.1;9.6;1.6;0.1;11.9;0.8;0.0;11.4;31.0;6.9;64.2;188.2;0.0;''
2025-12-22T15:30:00+01:00;PT15M;Onshore;Wallonia;Elia;0.0;0.9;0.1;9.3;1.6;0.1;12.0;0.9;0.0;11.3;31.4;7.0;64.2;188.2;0.0;''
2025-12-22T15:15:00+01:00;PT15M;Onshore;Wallonia;Elia;0.0;0.8;0.1;9.3;1.4;0.0;12.0;1.0;0.0;11.4;31.4;6.9;66.0;188.2;0.0;''
2025-12-22T15:00:00+01:00;PT15M;Onshore;Wallonia;Elia;0.0;0.6;0.1;9.3;1.4;0.0;12.0;1.0;0.0;11.5;31.6;6.7;71.1;188.2;0.0;''
2025-12-22T14:45:00+01:00;PT15M;Onshore;Wallonia;Elia;0.01;0.4;0.0;9.2;1.7;0.0;12.2;1.1;0.0;11.7;31.9;6.7;76.3;188.2;0.0;''
2025-12-22T14:30:00+01:00;PT15M;Onshore;Wallonia;Elia;0.25;0.5;0.0;9.0;1.6;0.0;12.2;1.1;0.0;11.7;32.1;6.8;79.5;188.2;0.0;''
2025-12-22T14:15:00+01:00;PT15M;Onshore;Wallonia;Elia;0.17;0.5;0.0;9.0;1.8;0.0;12.3;1.3;0.0;11.9;32.2;6.8;80.7;188.2;0.0;''
2025-12-22T14:00:00+01:00;PT15M;Onshore;Wallonia;Elia;0.01;0.6;0.0;9.3;1.9;0.0;12.4;1.3;0.0;11.9;32.3;6.9;80.0;188.2;0.0;''
2025-12-22T13:45:00+01:00;PT15M;Onshore;Wallonia;Elia;0.28;1.4;0.0;10.1;2.3;0.0;13.0;1.4;0.0;11.9;32.5;7.1;79.4;188.2;0.0;''
